Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-13,400.0,503.8999938964844,400.0,455.0,1529232,0.0,0.0
2018-06-14,469.0,484.0,438.0,438.0,148388,0.0,0.0
2018-06-15,435.3999938964844,437.25,415.1000061035156,420.0,116467,0.0,0.0
2018-06-18,422.0,422.75,401.2000122070313,411.0,88873,0.0,0.0
2018-06-19,409.7000122070313,425.0,401.8999938964844,412.5,63138,0.0,0.0
2018-06-20,414.8999938964844,418.4500122070313,408.3500061035156,415.8500061035156,26893,0.0,0.0
2018-06-21,418.8999938964844,443.5,415.75,440.0,62802,0.0,0.0
2018-06-22,446.0,490.0,444.6000061035156,487.7999877929688,102359,0.0,0.0
2018-06-25,485.0,504.2999877929688,476.7000122070313,486.0,66306,0.0,0.0
2018-06-26,486.3999938964844,486.3999938964844,468.0,479.6499938964844,22446,0.0,0.0
2018-06-27,490.0,503.7999877929688,475.25,479.5,33255,0.0,0.0
2018-06-28,479.5,487.7999877929688,465.1000061035156,471.0,34134,0.0,0.0
2018-06-29,471.0,475.0,467.6499938964844,471.75,21201,0.0,0.0
2018-07-02,468.2000122070313,473.75,451.6000061035156,458.0,20416,0.0,0.0
2018-07-03,457.1000061035156,474.9500122070313,457.1000061035156,471.8500061035156,8315,0.0,0.0
2018-07-04,476.2999877929688,492.7000122070313,474.0,492.7000122070313,12570,0.0,0.0
2018-07-05,492.7000122070313,500.7999877929688,488.7999877929688,496.0,9509,0.0,0.0
2018-07-06,500.0,512.0,495.6000061035156,503.3999938964844,24950,0.0,0.0
2018-07-09,508.0,522.2999877929688,506.2999877929688,521.0,20271,0.0,0.0
2018-07-10,529.0,573.0999755859375,514.0999755859375,529.5,53263,0.0,0.0
2018-07-11,527.0999755859375,544.4000244140625,524.2999877929688,542.9000244140625,20061,0.0,0.0
2018-07-12,543.5,579.0,543.5,579.0,35970,0.0,0.0
2018-07-13,580.0,609.0,575.2999877929688,590.2000122070312,50670,0.0,0.0
2018-07-16,589.0,597.0,553.7999877929688,570.0,54220,0.0,0.0
2018-07-17,571.0999755859375,574.9000244140625,535.5,558.0,24384,0.0,0.0
2018-07-18,556.0,569.0,547.2999877929688,557.0999755859375,12641,0.0,0.0
2018-07-19,557.0,572.9000244140625,549.2000122070312,572.9000244140625,20914,0.0,0.0
2018-07-20,573.0,605.0,568.5999755859375,574.5999755859375,22628,0.0,0.0
2018-07-23,581.0999755859375,598.0,576.0,592.0,18435,0.0,0.0
2018-07-24,598.0,600.0,596.0,600.0,16487,0.0,0.0
2018-07-25,596.4000244140625,600.0,587.0999755859375,590.0,18697,0.0,0.0
2018-07-26,592.4000244140625,593.7999877929688,578.7999877929688,586.5999755859375,10642,0.0,0.0
2018-07-27,587.4000244140625,588.0,577.4000244140625,586.0,10985,0.0,0.0
2018-07-30,585.0,586.0,576.0,577.0,15652,0.0,0.0
2018-07-31,575.0,575.0,537.5999755859375,546.4000244140625,44728,0.0,0.0
2018-08-01,555.0,555.0,525.0,527.0,21452,0.0,0.0
2018-08-02,524.0999755859375,532.7000122070312,515.7000122070312,524.9000244140625,11307,0.0,0.0
2018-08-03,527.0,552.7999877929688,527.0,544.2000122070312,5541,0.0,0.0
2018-08-06,550.9000244140625,554.0,540.0,540.0,5308,0.0,0.0
2018-08-07,541.0999755859375,547.4000244140625,536.5,547.0,5906,0.0,0.0
2018-08-08,543.0,552.2000122070312,543.0,546.2000122070312,4387,0.0,0.0
2018-08-09,547.0,551.7999877929688,544.0999755859375,549.0,3674,0.0,0.0
2018-08-10,552.0,552.0,538.0,546.5999755859375,2513,0.0,0.0
2018-08-13,545.0,553.0,540.0,548.2999877929688,3394,0.0,0.0
2018-08-14,551.0,552.7000122070312,535.0,551.0,6707,0.0,0.0
2018-08-15,553.0,553.7999877929688,531.0999755859375,534.5,6760,0.0,0.0
2018-08-16,535.0,535.0,525.0,530.4000244140625,8129,0.0,0.0
2018-08-17,531.0999755859375,532.0,525.2999877929688,527.7999877929688,3463,0.0,0.0
2018-08-20,530.0999755859375,545.0,530.0999755859375,540.0,9947,0.0,0.0
2018-08-21,543.0,553.5999755859375,543.0,548.0999755859375,12381,0.0,0.0
2018-08-22,574.5999755859375,580.0,561.7999877929688,568.0,31713,0.0,0.0
2018-08-23,576.7000122070312,623.0,574.0,607.2000122070312,51308,0.0,0.0
2018-08-24,613.0,620.0,600.2000122070312,600.9000244140625,14128,0.0,0.0
2018-08-27,605.4000244140625,625.0,605.4000244140625,616.5999755859375,19025,0.0,0.0
2018-08-28,621.2000122070312,626.0,613.4000244140625,617.0,14125,0.0,0.0
2018-08-29,625.0,625.0,613.0,614.0,8508,0.0,0.0
2018-08-30,612.5,616.0,602.0,602.9000244140625,8369,0.0,0.0
2018-08-31,602.7999877929688,610.0,601.0,604.0,7937,0.0,0.0
2018-09-03,606.9000244140625,611.2000122070312,602.5999755859375,609.0,8686,0.0,0.0
2018-09-04,609.0,623.0,607.0999755859375,615.0,12276,0.0,0.0
2018-09-05,618.0,628.0999755859375,611.0,615.7000122070312,24405,0.0,0.0
2018-09-06,616.0,633.0,615.0,629.0,18579,0.0,0.0
2018-09-07,640.0,660.9000244140625,627.5,644.7999877929688,108579,0.0,0.0
2018-09-10,650.0,697.4000244140625,636.0,691.9000244140625,59415,0.0,0.0
2018-09-11,694.0,700.0,679.4000244140625,682.0,24309,0.0,0.0
2018-09-12,687.9000244140625,758.9000244140625,680.9000244140625,738.2000122070312,76035,0.0,0.0
2018-09-13,681.0,689.0,596.2000122070312,650.0,493265,0.0,0.0
2018-09-14,647.7999877929688,654.0,603.0,615.0,120052,0.0,0.0
2018-09-17,608.2000122070312,608.9000244140625,571.0999755859375,589.0,221944,0.0,0.0
2018-09-18,589.2000122070312,629.9000244140625,589.2000122070312,629.9000244140625,68067,0.0,0.0
2018-09-19,635.9000244140625,655.0,635.4000244140625,649.0,65037,0.0,0.0
2018-09-20,652.0,652.2999877929688,625.5,633.9000244140625,53812,0.0,0.0
2018-09-21,633.4000244140625,638.7000122070312,612.5999755859375,626.2000122070312,31641,0.0,0.0
2018-09-24,630.0,650.0,620.2000122070312,642.5,45954,0.0,0.0
2018-09-25,649.5999755859375,658.7999877929688,642.0,658.7999877929688,60071,0.0,0.0
2018-09-26,664.5999755859375,666.7000122070312,628.0,662.0,35966,0.0,0.0
2018-09-27,660.9000244140625,685.0,656.5,684.7000122070312,42706,0.0,0.0
2018-09-28,699.5,708.0,687.4000244140625,703.0,55281,0.0,0.0
2018-10-01,707.0,721.7000122070312,704.5,720.0,45557,0.0,0.0
2018-10-02,714.7000122070312,726.4000244140625,702.5,720.4000244140625,54366,0.0,0.0
2018-10-03,722.5999755859375,723.7999877929688,696.0999755859375,702.2000122070312,66460,0.0,0.0
2018-10-04,703.4000244140625,715.2000122070312,681.7000122070312,682.0,53637,0.0,0.0
2018-10-05,679.9000244140625,681.2000122070312,640.0,656.7999877929688,68294,0.0,0.0
2018-10-08,652.4000244140625,652.4000244140625,624.0999755859375,627.5,67106,0.0,0.0
2018-10-09,633.5,643.5999755859375,600.0999755859375,615.2999877929688,116910,0.0,0.0
2018-10-10,618.7000122070312,618.7000122070312,579.0999755859375,580.2000122070312,100369,0.0,0.0
2018-10-11,568.0,575.9000244140625,531.0,547.5,181798,0.0,0.0
2018-10-12,572.0,590.0,550.0,573.2999877929688,94254,0.0,0.0
2018-10-15,573.0,573.0,542.4000244140625,556.2000122070312,56984,0.0,0.0
2018-10-16,555.0,584.7000122070312,553.4000244140625,584.4000244140625,74082,0.0,0.0
2018-10-17,598.0,614.9000244140625,596.2999877929688,602.4000244140625,67884,0.0,0.0
2018-10-18,598.2999877929688,614.7000122070312,580.2000122070312,599.0,61522,0.0,0.0
2018-10-19,604.0,613.5,592.4000244140625,609.7999877929688,67335,0.0,0.0
2018-10-22,610.7000122070312,625.0,610.7000122070312,622.2999877929688,59214,0.0,0.0
2018-10-23,600.0,607.0999755859375,551.4000244140625,560.0,103864,0.0,0.0
2018-10-24,566.7999877929688,574.0,541.5,545.9000244140625,87759,0.0,0.0
2018-10-25,540.0,554.0999755859375,526.7999877929688,554.0999755859375,64673,0.0,0.0
2018-10-26,545.0,547.5999755859375,506.6000061035156,519.2999877929688,147092,0.0,0.0
2018-10-29,528.7000122070312,551.4000244140625,528.7000122070312,540.0,59115,0.0,0.0
2018-10-30,548.0,554.9000244140625,528.0,545.0,49314,0.0,0.0
2018-10-31,553.9000244140625,579.5,549.2000122070312,571.0999755859375,78039,0.0,0.0
2018-11-01,571.5999755859375,582.7000122070312,562.7000122070312,574.5999755859375,57200,0.0,0.0
2018-11-02,585.0,596.5,576.0999755859375,581.0,63004,0.0,0.0
2018-11-05,583.0999755859375,584.9000244140625,561.2999877929688,565.5,43690,0.0,0.0
